base_company,other_company,overlap_users,total_users,overlap_ratio_percent
bodyfriend,ceragem,343,19438,1.8
bodyfriend,cozyma,169,19438,0.9
bodyfriend,coway,101,19438,0.5
bodyfriend,ebrams,10,19438,0.1
ceragem,bodyfriend,343,8976,3.8
ceragem,cozyma,65,8976,0.7
ceragem,coway,48,8976,0.5
ceragem,ebrams,6,8976,0.1
coway,bodyfriend,101,8291,1.2
coway,ceragem,48,8291,0.6
coway,cozyma,7,8291,0.1
coway,ebrams,1,8291,0
cozyma,bodyfriend,169,1567,10.8
cozyma,ceragem,65,1567,4.1
cozyma,ebrams,9,1567,0.6
cozyma,coway,7,1567,0.4
ebrams,bodyfriend,10,316,3.2
ebrams,cozyma,9,316,2.8
ebrams,ceragem,6,316,1.9
ebrams,coway,1,316,0.3
