SITE_NM,COMPANY,CNT,USER_CNT,CNT_P_USER,USER_RATIO
YouTube,bodyfriend,12507458,19438,643.454,1
Google,bodyfriend,4282071,19437,220.3051,0.999949
YouTube Music,bodyfriend,1381679,19433,71.09962,0.999743
다음,bodyfriend,3769335,19430,193.9956,0.999588
네이버,bodyfriend,8948231,19426,460.6317,0.999383
카카오,bodyfriend,3034489,19426,156.2076,0.999383
Facebook,bodyfriend,5557418,19365,286.9826,0.996244
카카오톡,bodyfriend,1997630,19332,103.3328,0.994547
네이버 통합검색,bodyfriend,1531874,19060,80.37114,0.980554
네이버 쇼핑,bodyfriend,973606,18989,51.2721,0.976901
쿠팡,bodyfriend,5788500,18963,305.2523,0.975563
네이버 지도,bodyfriend,1142804,18784,60.83922,0.966355
네이버 블로그,bodyfriend,1043234,18551,56.236,0.954368
TikTok,bodyfriend,1834283,18459,99.37066,0.949635
토스,bodyfriend,2792495,18382,151.9146,0.945673
당근마켓,bodyfriend,1146473,17133,66.91607,0.881418
Instagram,bodyfriend,2873107,16836,170.6526,0.866138
Unity,bodyfriend,1442870,15964,90.38274,0.821278
애드파이,bodyfriend,1462729,15053,97.17193,0.774411
Samsung,bodyfriend,951638,14985,63.50604,0.770913
TikTok Lite,bodyfriend,2691623,13845,194.4112,0.712265
배달의민족,bodyfriend,1444296,12265,117.7575,0.630981
Netflix,bodyfriend,906948,11469,79.07821,0.59003
Apple,bodyfriend,3048714,9283,328.419,0.47757
iTunes-Apple,bodyfriend,2046024,7711,265.3383,0.396697
iCloud,bodyfriend,997257,7363,135.4417,0.378794
삼성 헬스,bodyfriend,365932,7170,51.03654,0.368865
무신사,bodyfriend,324033,5966,54.31328,0.306925
Google,ceragem,2090252,8976,232.8712,1
YouTube,ceragem,5341801,8975,595.1867,0.999889
다음,ceragem,1863012,8972,207.6473,0.999554
네이버,ceragem,4319215,8970,481.5178,0.999332
YouTube Music,ceragem,629217,8970,70.14682,0.999332
카카오,ceragem,1487014,8969,165.7948,0.99922
Facebook,ceragem,2122061,8954,236.9959,0.997549
카카오톡,ceragem,924144,8927,103.5223,0.994541
Taboola,ceragem,460240,8819,52.18732,0.982509
쿠팡,ceragem,3110035,8814,352.8517,0.981952
네이버 통합검색,ceragem,738857,8806,83.90382,0.981061
네이버 쇼핑,ceragem,538656,8795,61.24571,0.979835
네이버 지도,ceragem,505627,8697,58.13809,0.968917
네이버 블로그,ceragem,508742,8610,59.08734,0.959225
TikTok,ceragem,695181,8546,81.34578,0.952094
쿠팡이츠,ceragem,429211,8318,51.60026,0.926693
토스,ceragem,1278424,8225,155.4315,0.916332
당근마켓,ceragem,612770,8204,74.69161,0.913993
애드파이,ceragem,866636,8108,106.8865,0.903298
Instagram,ceragem,1061765,7735,137.2676,0.861742
Samsung,ceragem,510038,7422,68.71975,0.826872
Unity,ceragem,817882,7333,111.5344,0.816956
TikTok Lite,ceragem,1136709,6277,181.0911,0.699309
배달의민족,ceragem,624994,5505,113.5321,0.613302
Netflix,ceragem,391553,5138,76.20728,0.572415
삼성 헬스,ceragem,203695,3904,52.17597,0.434938
Apple,ceragem,983511,3749,262.3396,0.417669
캐시워크,ceragem,229426,3542,64.77301,0.394608
iTunes-Apple,ceragem,632693,2725,232.1809,0.303587
iCloud,ceragem,316573,2616,121.0141,0.291444
업비트,ceragem,188262,1971,95.51598,0.219586
Google,coway,2189980,8291,264.1394,1
YouTube,coway,4163714,8291,502.1968,1
카카오,coway,1395796,8285,168.4727,0.999276
YouTube Music,coway,535043,8281,64.61092,0.998794
