COMPANY,AGE,SEX,LOC,FMIL_SGMT,MAU,구매력,저가선호,인스타그램활동,부모서비스관심,공기질민감,홈쇼핑관심,온라인상품권관심,홈케어서비스관심,공기질가전제품관심,디지털전자제품기타관심,바디케어관심,반려동물용품관심,비타민영양제관심,생활가전제품기타관심,안마용품관심,헬스케어용품관심,헬스케어의료관심
bodyfriend,,,부산,,4,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyfriend,,,충남,중년_자녀동거,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyfriend,,,제주,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyfriend,,,대구,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyfriend,,,,중년_자녀동거,6,0.4,0.4,0,0.8,0,0,0,0,0.7,0.7,0.8,0.9,0.7,0.8,0.7,0.8,0.8
bodyfriend,,,전북,중년_자녀동거,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyfriend,,,서울,키즈맘_미취학,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyfriend,,,경북,,1,0,0,1,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0
bodyfriend,,,대전,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyfriend,,,경기,중년_자녀동거,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyfriend,,,충북,1인가구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyfriend,,,경남,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyfriend,,,인천,키즈맘_미취학,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyfriend,0,FEMALE,대전,중년_자녀동거,1,0,3.3,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0
bodyfriend,0,FEMALE,,,2,0,0,0,3.4,0,0.8,0,0,0,0,0,0,0,0,0,0,0
bodyfriend,0,MALE,,,1,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyfriend,10,FEMALE,부산,1인가구,9,1.2,1,0.7,0.5,1.6,1.8,1.4,0,0.5,0.5,0.6,0.7,0.7,0.5,0.7,0.7,0.5
bodyfriend,10,FEMALE,강원,키즈맘_초등생,2,1.4,1.3,3.8,2,0,3.2,3,0,0,0,0,0,0,0,0,0,0
bodyfriend,10,FEMALE,,,24,0.3,0.6,2.3,1.1,0.9,1.5,0.7,0,0.9,0.8,0.9,1.1,1,0.9,1,1.1,0.9
bodyfriend,10,MALE,경남,중년_자녀동거,7,0.9,0,3.2,0.3,2.6,0.7,1,0,0.8,0.7,0.8,1,1,0.8,1,1,0.7
bodyfriend,10,FEMALE,경기,,22,1.4,1.8,2.4,1.3,0.4,1.1,0.6,0,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.7
bodyfriend,10,,전남,키즈맘_미취학,1,0,2.9,0,0,0,0.7,8.8,0,0,0,0,0,0,0,0,0,0
bodyfriend,10,MALE,강원,키즈맘_초등생,7,0.2,2,5.3,0.5,0.5,1.3,3.2,0,2.1,2.1,2.4,2.7,2.4,2.4,2.4,2.5,2.3
bodyfriend,10,MALE,광주,1인가구,3,0,2.9,2.7,0,1.6,3.3,2.6,0,1.7,1.6,1.8,2.3,2.3,2,2.3,2.3,1.8
bodyfriend,10,FEMALE,충남,,6,0.1,0.7,3.1,0.5,0.8,1.1,0,0,0.9,0.8,0.9,1.3,1.2,1.1,1.2,1.2,0.9
bodyfriend,10,MALE,전남,중년_자녀동거,3,0,0,2.6,0.1,1.7,0,2,0,0,0,0,0,0,0,0,0,0
bodyfriend,10,MALE,대전,1인가구,1,0,1.6,2,0.6,0,0,2.8,0,0,0,0,0,0,0,0,0,0
bodyfriend,10,,전북,,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyfriend,10,MALE,부산,,10,0.5,1.9,2.3,1.1,0.8,0.5,1.2,0,1,1,1.1,1.2,1.2,1.3,1.2,1.3,1.1
bodyfriend,10,FEMALE,제주,1인가구,2,0,2.4,3.9,0.6,0,1,0,0,0,0,0,0,0,0,0,0,0
bodyfriend,10,,광주,키즈맘_미취학,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyfriend,10,FEMALE,전북,,1,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyfriend,10,FEMALE,울산,중년_자녀동거,1,0,0,0,0.4,4.9,0,0,0,0,0,0,0,0,0,0,0,0
bodyfriend,10,FEMALE,경남,,8,0.9,1.5,0.9,1.1,1.4,0.3,0.6,0,1.4,1.2,1.4,1.5,1.5,1.5,1.5,1.6,1.4
bodyfriend,10,,,중년_자녀동거,4,0.1,1.1,5.2,0.7,0,0.5,0,0,1.3,1.2,1.4,1.6,1.6,1.5,1.6,1.6,1.3
bodyfriend,10,FEMALE,경북,1인가구,2,0,0,4.4,0.2,3.9,0,0,0,0,0,0,0,0,0,0,0,0
