P_YYYYMM,COMPANY,CNT
202401,bodyfriend,25789
202401,ceragem,8663
202401,coway,10537
202401,cozyma,5283
202401,ebrams,160
202402,bodyfriend,28130
202402,ceragem,48542
202402,coway,10188
202402,cozyma,4372
202402,ebrams,188
202403,bodyfriend,22529
202403,ceragem,11190
202403,coway,10522
202403,cozyma,849
202403,ebrams,89
202404,bodyfriend,23319
202404,ceragem,17341
202404,coway,10882
202404,cozyma,1371
202404,ebrams,115
202405,bodyfriend,28160
202405,ceragem,21220
202405,coway,10968
202405,cozyma,2676
202405,ebrams,122
202406,bodyfriend,18437
202406,ceragem,7622
202406,coway,6745
202406,cozyma,1833
202406,ebrams,119
202407,bodyfriend,18959
202407,ceragem,9319
202407,coway,7818
202407,cozyma,1070
202407,ebrams,163
202408,bodyfriend,24254
202408,ceragem,9257
202408,coway,7258
202408,cozyma,1862
202408,ebrams,208
202409,bodyfriend,31806
202409,ceragem,13964
202409,coway,6964
202409,cozyma,1654
202409,ebrams,768
202410,bodyfriend,21764
202410,ceragem,17039
202410,coway,7072
202410,cozyma,1256
202410,ebrams,860
202411,bodyfriend,20094
202411,ceragem,12336
202411,coway,6915
202411,cozyma,1095
202411,ebrams,352
202412,bodyfriend,26971
202412,ceragem,8073
202412,coway,7747
202412,cozyma,1091
202412,ebrams,164
202501,bodyfriend,26923
202501,ceragem,10312
202501,coway,6776
202501,cozyma,1712
202501,ebrams,404
202502,bodyfriend,20219
202502,ceragem,7463
202502,coway,6513
202502,cozyma,1486
202502,ebrams,255
202503,bodyfriend,17211
202503,ceragem,8056
202503,coway,7382
202503,cozyma,1576
202503,ebrams,345
