IDKD_SCLS_GA_NM,ENT_CNT,u_sales,U_SALES_A,u_profit,U_PROFIT_A,ys1,ye1,ws_gap
,1037,78675593011,75868459.99,15.66,14.61,1.61E+10,62662,2.25E+11
게임/SW개발,406,1.44E+11,355834271,12.81,14.04,3.30E+10,68952,4.57E+11
지자체,270,66272171820,245452488.2,9.85,14.83,,60960,1.69E+11
식음료,189,6059039267,32058408.82,8.92,12.7,6.27E+10,97863,8.54E+09
농임어업,163,1141007556,7000046.356,5.14,5.98,2.57E+09,3174,22800000
식료품도소매,158,2831371547,17920073.08,7.52,12.66,1.59E+10,23668,3.88E+09
육상운송,143,22335707703,156193760.2,6.83,13.69,2.99E+10,83672,4.20E+09
전기전자,140,27675710590,197683647.1,14.96,17.04,3.40E+11,268307,3.93E+09
공공기관,129,26782316982,207614860.3,9.21,14.57,5.65E+09,45192,1.55E+11
은행/증권/카드,123,48412588735,393598282.4,11.22,12.23,2.13E+11,85338,1.56E+11
에듀테크,112,5800118877,51786775.69,10.24,12.41,5.36E+09,26134,8.55E+09
자동차/운송장비,105,10733598315,102224745.9,20.11,15.11,2.35E+11,209252,9.78E+09
석유/화학/플라스틱,99,6152846978,62149969.47,13.73,18.6,1.97E+11,69373,5.73E+09
사회단체,97,8548522244,88129095.3,15.79,13.53,4.88E+08,9770,7.15E+09
미디어,95,53206627726,560069765.5,16.33,16.27,1.62E+10,25709,9.24E+10
보험/연금,92,33943158552,368947375.6,10.35,12.48,1.87E+11,83157,7.01E+10
Small금융,84,17944428460,213624148.3,8.98,11.05,2.39E+10,27299,2.14E+10
클라우드MSP,80,40333035199,504162940,9.26,13.27,7.69E+09,19422,5.40E+10
기계,76,2526044812,33237431.74,21.75,22.91,2.21E+10,26917,2.90E+09
이외 전문 도매업,75,4473770667,59650275.56,12.25,15.71,1.82E+10,13450,1.11E+10
정보통신장비도소매,74,12429942905,167972201.4,10.21,15.38,1.49E+10,17249,9.37E+09
리서치/컨설팅,73,8780280158,120277810.4,14.09,16.12,4.36E+09,62327,1.30E+10
R&D,71,6071108031,85508563.82,10.91,17.48,2.96E+09,35242,1.32E+10
건물/토목 건설업,70,15853546347,226479233.5,5.54,15.89,9.75E+10,77031,8.72E+09
정보서비스,68,10823132507,159163713.3,11.87,12.15,5.68E+09,22379,1.07E+10
전문서비스기타,68,8219819193,120879694,13.47,14.73,4.15E+09,23229,5.85E+09
교육청/초중고,64,7273065474,113641648,1.11,17.53,4.04E+08,712,2.83E+10
대학교/대학원,61,4998958907,81950146.02,7.02,13.36,1.12E+10,43019,5.03E+09
금속/철강,59,1289838592,21861671.05,7.98,16.59,6.37E+10,41168,1.13E+09
생활용품도소매,57,1536470658,26955625.58,9.53,15.03,1.74E+10,16862,2.32E+09
통신,56,1.07E+11,1916506703,24.91,17.68,5.11E+10,45574,9.99E+10
백화점/마트,56,5116719218,91369986.04,5.11,16.37,4.80E+10,83595,2.55E+10
청소/방제/조경업,50,15634956193,312699123.9,3.86,15.24,3.34E+09,51436,1.78E+09
온라인/홈쇼핑,47,20143052104,428575576.7,16.08,14.12,1.27E+10,21533,2.59E+10
출판/인쇄,46,1888934752,41063798.96,25.23,20.79,2.04E+09,7930,2.90E+09
금융지원/지주회사,46,5616532801,122098539.2,9.67,16.51,3.11E+10,18667,5.09E+09
건축설계,45,4973212118,110515824.8,16.36,16.98,4.49E+09,29858,6.75E+09
의약품,45,1197307410,26606831.33,8.33,11.84,1.91E+10,32293,1.80E+09
의약화장품도소매,45,3869362928,85985842.84,9.65,13.72,1.55E+10,19071,1.52E+09
시설/설비 공사업,44,516118689,11729970.2,20.86,32.17,4.12E+09,6023,85920000
자동차(부품)도소매,43,1442955628,33557107.63,3.25,18.18,1.81E+10,8468,1.40E+09
호스팅/포털,42,13624437203,324391362,25.83,17.91,9.27E+09,14636,5.65E+10
섬유/의류/피혁,42,2271392793,54080780.79,7.92,15.56,1.20E+10,9541,1.21E+09
전기 및 통신공사,41,2609781357,63653203.83,11.67,17.7,3.26E+09,11229,5.33E+09
재테크,38,7495913396,197260878.8,20.94,15.59,3.35E+09,5365,8.49E+09
수도/가스/발전,37,4920851715,132995992.3,17.74,14.07,5.36E+10,32302,1.05E+10
제조기타,37,870094202,23516059.51,12.88,24.73,6.85E+09,9079,4.67E+08
호텔/리조트,34,4097270500,120507955.9,8.44,14.76,6.83E+09,17792,4.11E+09
화물보관/관리,33,1028910460,31179104.85,5.62,8.47,1.50E+10,59240,9.37E+08
경찰청,33,14058928738,426028143.6,9.52,18.45,,1256,2.60E+10
병의원,32,1006860243,31464382.59,5.36,8.88,6.19E+08,4273,1.16E+09
에너지공급,30,4045946353,134864878.4,20.01,19.65,5.41E+10,9901,1.73E+09
여행,30,1963763588,65458786.27,6.76,10.91,2.83E+10,38544,5.47E+09
측량/광학/의료기기,30,2878983502,95966116.73,5.31,15.47,4.07E+09,10073,1.35E+09
일반음식점업,29,2879012946,99276308.48,27.96,19.29,1.04E+10,40290,1.30E+10
광고디자인,28,7114753179,254098327.8,31.11,16.97,8.58E+08,2655,3.53E+09
정부기관,28,2632819941,94029283.61,9.5,14.09,580318,3140,2.27E+10
비금속/광물,26,1082353115,41628965.96,12.77,12.68,7.47E+09,8888,7.21E+08
스포츠/레저,24,2035715459,84821477.46,6.7,19.1,1.00E+09,2754,9.08E+08
오락/문화,24,1871866655,77994443.96,12.44,14.07,8.33E+08,7583,1.37E+09
폐기물/환경관리,24,1908908942,79537872.58,6.67,14.31,9.24E+08,8947,1.85E+09
VAN,23,20648206781,897748120.9,15.99,18.01,2.67E+09,1457,2.78E+11
컴퓨터/직업훈련학원,23,1110924081,48301047,3.89,12.16,3.97E+08,3548,1.37E+09
반도체,21,777639467,37030450.81,11.53,19.7,6.23E+10,43872,4.81E+08
수상/항공운송,20,1750678269,87533913.45,18.31,19.74,1.67E+10,10263,8.74E+09
이외 전문 소매업,19,5982382850,314862255.3,4.22,12.36,1.78E+09,4095,2.10E+10
가전/장비수리,18,221107096,12283727.56,23.22,14.05,2.69E+09,9046,4.43E+08
부동산임대,18,1130258708,62792150.44,5.93,15.15,4.38E+08,1197,4.40E+08
사회복지,17,611470015,35968824.41,13.17,14.87,,8911,1.72E+09
종합 도매업,16,511462114,31966382.13,15.37,15.46,1.89E+10,5923,1.74E+08
간병/결혼상담,16,414005374,25875335.88,11.77,19.73,563587,0,4.61E+08
종합병원,16,311493601,19468350.06,6.6,18.14,5.72E+08,18480,6.61E+08
일반학원,15,1320671844,88044789.6,11.99,13.1,2.91E+08,1345,4.01E+09
부동산 관리업,14,3700103376,264293098.3,20.57,19.1,1.02E+09,9367,1.06E+09
숙박,14,570959238,40782802.71,15.75,17.24,2.58E+08,800,1.12E+08
IT핀테크,12,2981726838,248477236.5,13.54,15.83,2.44E+09,1775,4.67E+09
인력공급,12,288008140,24000678.33,8.01,8.83,1.40E+09,26643,2.85E+08
의류/패션잡화 소매업,10,274518746,27451874.6,12.25,20.89,1.18E+09,3570,2.36E+08
푸드테크,10,115839791,11583979.1,16.36,12.37,5.00E+08,746,20040000
에너지원자재,8,971192337,121399042.1,38.81,17.87,1.05E+10,1081,3.15E+08
엔터테인먼트,8,389218891,48652361.38,16.74,16.38,2.45E+08,1000,1.08E+08
헬스케어,8,846212255,105776531.9,10.88,14.07,9.06E+08,8883,5.47E+08
법률회계,8,995801200,124475150,4.57,18.37,13703777,5434,5.62E+08
운송임대업,7,633792189,90541741.29,0.48,7.76,1.15E+09,1064,13200000
경비보안,6,543907437,90651239.5,21.24,25.94,8.25E+08,12450,60000000
광고/디지털사이니지,6,1389120772,231520128.7,30.28,20.65,1.62E+08,1183,7.82E+08
임대업,6,314073944,52345657.33,9.75,18.31,8.33E+08,1541,2.76E+08
건설자재/가구,6,163203193,27200532.17,3.87,15.28,5.96E+09,4445,80760000
건설엔지니어링,6,212843294,35473882.33,8.55,13.99,4.38E+08,2553,51600000
카페업,5,331163098,66232619.6,24.54,15.84,4.01E+09,27748,35544000
풀필먼트,5,184986720,36997344,,,5.53E+08,701,0
경영컨설팅,5,113280591,22656118.2,6.13,11.68,2498620,423,2.82E+08
간이음식/포장판매업,5,70960012,14192002.4,2.47,12.65,,,3.29E+09
편의점,4,1803166655,450791663.8,0.1,23.41,1.61E+10,6936,6.51E+09
영상/오디오 컨텐츠,4,610077309,152519327.3,25.75,20.69,1.45E+09,5788,2.22E+08
생활용품임대업,4,397298281,99324570.25,4.76,5.39,4.00E+09,7631,2.13E+09
예식/장례,4,581558764,145389691,15.29,17.58,5.96E+08,533,27600000
종교단체,4,70926039,17731509.75,2.46,6.52,,404,1.58E+08
광업,3,207868103,69289367.67,29.54,23.99,,2523,4.68E+08
뉴스,3,388180818,129393606,19.45,18.96,2.13E+08,1257,1.14E+09
배달/방판,3,599586098,199862032.7,24.22,17.34,7.64E+08,641,8.64E+08
실내건축 및 디자인,3,41175523,13725174.33,10.46,16.31,5.98E+08,483,12000000
건축자재 소매업,2,10773407,5386703.5,,,1139735,2,0
유아교육,2,38530013,19265006.5,2.62,10.3,,,1.56E+08
애완동물용품 소매업,1,8716827,8716827,13.91,13.91,28366422,43,1200000
로보틱스,1,3022335,3022335,,,51571428,246,0
부동산 중개업,1,35174724,35174724,10.54,10.54,,25,0
군,1,458629,458629,9.53,9.53,,45,0
동물병원,1,888457781,888457781,7.08,7.08,,,4.28E+08
치과병원,1,12513800,12513800,6.06,6.06,,,0
비금융지주회사,1,3676744,3676744,,,,,0
