COMPANY,AGE,SEX,LOC,FMIL_SGMT,MAU,구매력,2ND단말기보유점수,구매력점수,블로그활동점수,이사관심점수,공기질민감점수,도서잡지관심점수,인테리어관심점수,렌탈관심점수,홈케어서비스관심점수,계절가전제품관심점수,생활가전제품관심점수,주방용품가전제품관심점수,디지털전자제품관심점수
carrier,,,,,5,,,,,,,,,,,,,,
carrier,,,경기,,10,,,,,,,,,,,,,,
carrier,,,경북,,1,,,,,,,,,,,,,,
carrier,,,광주,,1,,,,,,,,,,,,,,
carrier,,,대구,,2,,,,,,,,,,,,,,
carrier,,,부산,,4,,,,,,,,,,,,,,
carrier,,,서울,,13,,,,,,,,,,,,,,
carrier,,,인천,,1,,,,,,,,,,,,,,
carrier,,,충북,,1,,,,,,,,,,,,,,
carrier,00,FEMALE,,,1,,,,,,,,,,,,,,
carrier,00,MALE,경기,,1,,,,,,,,,,,,,,
carrier,00,MALE,경기,키즈맘_초등생,1,,9.9,,,,,,,,,0,0,0,0
carrier,10,FEMALE,,키즈맘_중학생,1,,,,,0.5,,,,,,0,0,0,0
carrier,10,FEMALE,,,5,,,,,,,,,,,,,,
carrier,10,FEMALE,,중년_자녀동거,1,,,,6.7,1,,,1,,,0,0,0,0
carrier,10,FEMALE,경기,,4,,,,,,,,,,,,,,
carrier,10,FEMALE,경기,키즈맘_중학생,1,,,,,1.4,,,,,,0,0,0,0
carrier,10,FEMALE,경기,중년_자녀동거,1,,,,2.8,0.5,,,,,,37.8,38.4,9.3,15.2
carrier,10,FEMALE,광주,,2,,,,,,,,,,,,,,
carrier,10,FEMALE,광주,키즈맘_중학생,1,,,,,,,,,,,0,0,0,0
carrier,10,FEMALE,대구,,1,,,,,,,,,,,,,,
carrier,10,FEMALE,대구,키즈맘_중학생,1,,,,5.8,,,,,,,0,0,0,0
carrier,10,FEMALE,부산,,2,,,,,,,,,,,,,,
carrier,10,FEMALE,서울,중년_자녀동거,1,10,7.6,10,8,0.3,,,0.9,,,8.7,7.2,2,4.4
carrier,10,FEMALE,서울,,1,,,,,,,,,,,,,,
carrier,10,FEMALE,인천,키즈맘_초등생,1,,7.5,,8,8.2,,,0.5,,,0,0,0,0
carrier,10,FEMALE,인천,,1,,,,,,,,,,,,,,
