base_company,AGE,SEX,other_company,overlap_users,total_users,overlap_ratio_percent
carrier,20,FEMALE,cuckoo,47,468,10.0
carrier,20,FEMALE,himart,25,468,5.3
carrier,20,FEMALE,lge,22,468,4.7
carrier,20,FEMALE,haier,3,468,0.6
carrier,20,FEMALE,modevi,1,468,0.2
carrier,20,MALE,himart,77,677,11.4
carrier,20,MALE,cuckoo,52,677,7.7
carrier,20,MALE,lge,34,677,5.0
carrier,20,MALE,xaomi,10,677,1.5
carrier,20,MALE,modevi,6,677,0.9
carrier,20,MALE,haier,1,677,0.1
carrier,20,MALE,cooing,1,677,0.1
carrier,30,FEMALE,cuckoo,122,903,13.5
carrier,30,FEMALE,himart,83,903,9.2
carrier,30,FEMALE,lge,53,903,5.9
carrier,30,FEMALE,xaomi,10,903,1.1
carrier,30,FEMALE,haier,5,903,0.6
carrier,30,FEMALE,cooing,2,903,0.2
carrier,30,FEMALE,samsunge,2,903,0.2
carrier,30,FEMALE,modevi,1,903,0.1
carrier,30,MALE,himart,188,1575,11.9
carrier,30,MALE,cuckoo,183,1575,11.6
carrier,30,MALE,lge,87,1575,5.5
carrier,30,MALE,xaomi,37,1575,2.3
carrier,30,MALE,modevi,7,1575,0.4
carrier,30,MALE,haier,7,1575,0.4
carrier,30,MALE,samsunge,5,1575,0.3
carrier,30,MALE,cooing,3,1575,0.2
carrier,40,FEMALE,cuckoo,99,655,15.1
carrier,40,FEMALE,lge,58,655,8.9
carrier,40,FEMALE,himart,55,655,8.4
carrier,40,FEMALE,xaomi,4,655,0.6
carrier,40,FEMALE,modevi,1,655,0.2
carrier,40,FEMALE,cooing,1,655,0.2
carrier,40,FEMALE,haier,1,655,0.2
carrier,40,MALE,himart,208,1227,17.0
carrier,40,MALE,cuckoo,171,1227,13.9
carrier,40,MALE,lge,107,1227,8.7
carrier,40,MALE,xaomi,55,1227,4.5
carrier,40,MALE,haier,7,1227,0.6
carrier,40,MALE,modevi,4,1227,0.3
carrier,40,MALE,cooing,2,1227,0.2
carrier,40,MALE,samsunge,2,1227,0.2
carrier,50,FEMALE,cuckoo,81,564,14.4
carrier,50,FEMALE,himart,61,564,10.8
carrier,50,FEMALE,lge,59,564,10.5
carrier,50,FEMALE,xaomi,2,564,0.4
carrier,50,MALE,himart,135,845,16.0
carrier,50,MALE,cuckoo,127,845,15.0
carrier,50,MALE,lge,109,845,12.9
carrier,50,MALE,xaomi,19,845,2.2
carrier,50,MALE,haier,2,845,0.2
carrier,50,MALE,cooing,1,845,0.1
carrier,50,MALE,modevi,1,845,0.1
carrier,60,FEMALE,cuckoo,43,212,20.3
carrier,60,FEMALE,lge,32,212,15.1
carrier,60,FEMALE,himart,13,212,6.1
carrier,60,FEMALE,xaomi,3,212,1.4
carrier,60,MALE,himart,38,315,12.1
carrier,60,MALE,cuckoo,32,315,10.2
carrier,60,MALE,lge,28,315,8.9
carrier,60,MALE,xaomi,4,315,1.3
carrier,70,FEMALE,cuckoo,17,52,32.7
carrier,70,FEMALE,lge,11,52,21.2
carrier,70,FEMALE,himart,10,52,19.2
carrier,70,FEMALE,cooing,1,52,1.9
carrier,70,FEMALE,xaomi,1,52,1.9
carrier,70,FEMALE,modevi,1,52,1.9
carrier,70,MALE,lge,8,79,10.1
carrier,70,MALE,himart,8,79,10.1
carrier,70,MALE,cuckoo,5,79,6.3
cooing,20,FEMALE,cuckoo,6,51,11.8
cooing,20,FEMALE,himart,3,51,5.9
cooing,20,MALE,himart,7,45,15.6
cooing,20,MALE,lge,6,45,13.3
cooing,20,MALE,cuckoo,4,45,8.9
cooing,20,MALE,carrier,1,45,2.2
cooing,20,MALE,modevi,1,45,2.2
cooing,30,FEMALE,cuckoo,10,86,11.6
cooing,30,FEMALE,himart,4,86,4.7
cooing,30,FEMALE,lge,4,86,4.7
cooing,30,FEMALE,carrier,2,86,2.3
cooing,30,MALE,cuckoo,11,108,10.2
cooing,30,MALE,himart,10,108,9.3
cooing,30,MALE,lge,9,108,8.3
cooing,30,MALE,haier,5,108,4.6
cooing,30,MALE,carrier,3,108,2.8
cooing,30,MALE,xaomi,2,108,1.9
cooing,40,FEMALE,cuckoo,10,64,15.6
cooing,40,FEMALE,himart,5,64,7.8
cooing,40,FEMALE,lge,3,64,4.7
cooing,40,FEMALE,haier,1,64,1.6
cooing,40,FEMALE,carrier,1,64,1.6
cooing,40,MALE,himart,19,96,19.8
cooing,40,MALE,cuckoo,17,96,17.7
cooing,40,MALE,lge,2,96,2.1
cooing,40,MALE,carrier,2,96,2.1
cooing,40,MALE,haier,2,96,2.1
cooing,40,MALE,xaomi,2,96,2.1
cooing,50,FEMALE,cuckoo,10,57,17.5
cooing,50,FEMALE,himart,7,57,12.3
cooing,50,FEMALE,lge,2,57,3.5
cooing,50,MALE,cuckoo,15,57,26.3
cooing,50,MALE,himart,10,57,17.5
cooing,50,MALE,lge,7,57,12.3
cooing,50,MALE,xaomi,1,57,1.8
cooing,50,MALE,carrier,1,57,1.8
cooing,60,FEMALE,cuckoo,4,22,18.2
cooing,60,FEMALE,himart,1,22,4.5
cooing,60,MALE,cuckoo,1,27,3.7
cooing,60,MALE,lge,1,27,3.7
cooing,70,FEMALE,lge,2,6,33.3
cooing,70,FEMALE,cuckoo,2,6,33.3
cooing,70,FEMALE,carrier,1,6,16.7
cooing,70,FEMALE,himart,1,6,16.7
cooing,70,MALE,cuckoo,1,6,16.7
cuckoo,20,FEMALE,lge,1103,18646,5.9
cuckoo,20,FEMALE,himart,480,18646,2.6
cuckoo,20,FEMALE,carrier,47,18646,0.3
cuckoo,20,FEMALE,xaomi,36,18646,0.2
cuckoo,20,FEMALE,samsunge,7,18646,0.0
cuckoo,20,FEMALE,cooing,6,18646,0.0
cuckoo,20,FEMALE,haier,3,18646,0.0
cuckoo,20,FEMALE,modevi,2,18646,0.0
cuckoo,20,MALE,lge,1059,17264,6.1
cuckoo,20,MALE,himart,600,17264,3.5
cuckoo,20,MALE,xaomi,123,17264,0.7
cuckoo,20,MALE,carrier,52,17264,0.3
cuckoo,20,MALE,samsunge,7,17264,0.0
cuckoo,20,MALE,haier,6,17264,0.0
cuckoo,20,MALE,modevi,2,17264,0.0
cuckoo,20,MALE,cooing,4,17264,0.0
cuckoo,30,FEMALE,lge,2257,31239,7.2
cuckoo,30,FEMALE,himart,1765,31239,5.6
cuckoo,30,FEMALE,xaomi,212,31239,0.7
cuckoo,30,FEMALE,carrier,122,31239,0.4
cuckoo,30,FEMALE,samsunge,63,31239,0.2
cuckoo,30,FEMALE,haier,17,31239,0.1
cuckoo,30,FEMALE,cooing,10,31239,0.0
cuckoo,30,FEMALE,modevi,4,31239,0.0
cuckoo,30,MALE,himart,2509,30465,8.2
cuckoo,30,MALE,lge,2114,30465,6.9
cuckoo,30,MALE,xaomi,652,30465,2.1
cuckoo,30,MALE,carrier,183,30465,0.6
cuckoo,30,MALE,samsunge,84,30465,0.3
cuckoo,30,MALE,modevi,4,30465,0.0
cuckoo,30,MALE,haier,13,30465,0.0
cuckoo,30,MALE,cooing,11,30465,0.0
cuckoo,40,FEMALE,lge,2911,36788,7.9
cuckoo,40,FEMALE,himart,2152,36788,5.8
cuckoo,40,FEMALE,xaomi,291,36788,0.8
cuckoo,40,FEMALE,carrier,99,36788,0.3
cuckoo,40,FEMALE,samsunge,33,36788,0.1
cuckoo,40,FEMALE,haier,10,36788,0.0
cuckoo,40,FEMALE,cooing,10,36788,0.0
cuckoo,40,MALE,himart,4055,38891,10.4
cuckoo,40,MALE,lge,3528,38891,9.1
cuckoo,40,MALE,xaomi,1075,38891,2.8
cuckoo,40,MALE,carrier,171,38891,0.4
cuckoo,40,MALE,samsunge,78,38891,0.2
cuckoo,40,MALE,haier,22,38891,0.1
cuckoo,40,MALE,cooing,17,38891,0.0
cuckoo,40,MALE,modevi,4,38891,0.0
cuckoo,50,FEMALE,lge,5336,41987,12.7
cuckoo,50,FEMALE,himart,1894,41987,4.5
cuckoo,50,FEMALE,xaomi,149,41987,0.4
cuckoo,50,FEMALE,carrier,81,41987,0.2
cuckoo,50,FEMALE,samsunge,19,41987,0.0
cuckoo,50,FEMALE,haier,5,41987,0.0
cuckoo,50,FEMALE,cooing,10,41987,0.0
cuckoo,50,MALE,lge,4856,39323,12.3
cuckoo,50,MALE,himart,2984,39323,7.6
cuckoo,50,MALE,xaomi,603,39323,1.5
cuckoo,50,MALE,carrier,127,39323,0.3
cuckoo,50,MALE,samsunge,27,39323,0.1
cuckoo,50,MALE,modevi,1,39323,0.0
cuckoo,50,MALE,cooing,15,39323,0.0
cuckoo,50,MALE,haier,13,39323,0.0
cuckoo,60,FEMALE,lge,4712,34776,13.5
cuckoo,60,FEMALE,himart,979,34776,2.8
cuckoo,60,FEMALE,xaomi,90,34776,0.3
cuckoo,60,FEMALE,carrier,43,34776,0.1
cuckoo,60,FEMALE,samsunge,8,34776,0.0
cuckoo,60,FEMALE,cooing,4,34776,0.0
cuckoo,60,FEMALE,haier,3,34776,0.0
cuckoo,60,FEMALE,modevi,2,34776,0.0
cuckoo,60,MALE,lge,2425,24983,9.7
cuckoo,60,MALE,himart,942,24983,3.8
cuckoo,60,MALE,xaomi,168,24983,0.7
cuckoo,60,MALE,carrier,32,24983,0.1
cuckoo,60,MALE,samsunge,9,24983,0.0
cuckoo,60,MALE,cooing,1,24983,0.0
cuckoo,70,FEMALE,lge,1904,16335,11.7
cuckoo,70,FEMALE,himart,294,16335,1.8
cuckoo,70,FEMALE,xaomi,41,16335,0.3
cuckoo,70,FEMALE,carrier,17,16335,0.1
cuckoo,70,FEMALE,samsunge,1,16335,0.0
cuckoo,70,FEMALE,cooing,2,16335,0.0
cuckoo,70,MALE,lge,862,10608,8.1
cuckoo,70,MALE,himart,218,10608,2.1
cuckoo,70,MALE,xaomi,68,10608,0.6
cuckoo,70,MALE,cooing,1,10608,0.0
cuckoo,70,MALE,haier,2,10608,0.0
cuckoo,70,MALE,carrier,5,10608,0.0
cuckoo,70,MALE,samsunge,1,10608,0.0
haier,20,FEMALE,himart,4,56,7.1
haier,20,FEMALE,carrier,3,56,5.4
haier,20,FEMALE,cuckoo,3,56,5.4
haier,20,FEMALE,lge,1,56,1.8
haier,20,MALE,himart,6,79,7.6
haier,20,MALE,cuckoo,6,79,7.6
haier,20,MALE,lge,5,79,6.3
haier,20,MALE,xaomi,2,79,2.5
haier,20,MALE,carrier,1,79,1.3
haier,30,FEMALE,cuckoo,17,100,17.0
haier,30,FEMALE,himart,16,100,16.0
haier,30,FEMALE,lge,7,100,7.0
haier,30,FEMALE,carrier,5,100,5.0
haier,30,FEMALE,xaomi,1,100,1.0
haier,30,MALE,himart,27,187,14.4
haier,30,MALE,lge,13,187,7.0
haier,30,MALE,cuckoo,13,187,7.0
haier,30,MALE,carrier,7,187,3.7
haier,30,MALE,cooing,5,187,2.7
haier,30,MALE,xaomi,4,187,2.1
haier,30,MALE,samsunge,1,187,0.5
haier,40,FEMALE,cuckoo,10,59,16.9
haier,40,FEMALE,himart,6,59,10.2
haier,40,FEMALE,lge,3,59,5.1
haier,40,FEMALE,cooing,1,59,1.7
haier,40,FEMALE,carrier,1,59,1.7
haier,40,MALE,himart,28,172,16.3
haier,40,MALE,cuckoo,22,172,12.8
haier,40,MALE,xaomi,9,172,5.2
haier,40,MALE,carrier,7,172,4.1
haier,40,MALE,lge,6,172,3.5
haier,40,MALE,cooing,2,172,1.2
haier,40,MALE,samsunge,1,172,0.6
haier,50,FEMALE,cuckoo,5,50,10.0
haier,50,FEMALE,himart,5,50,10.0
haier,50,FEMALE,samsunge,2,50,4.0
haier,50,FEMALE,lge,1,50,2.0
haier,50,MALE,himart,17,107,15.9
haier,50,MALE,cuckoo,13,107,12.1
haier,50,MALE,lge,7,107,6.5
haier,50,MALE,xaomi,2,107,1.9
