P_YYYYMM,COMPANY,CNT
202401,carrier,1223
202401,cooing,147
202401,cuckoo,81916
202401,haier,225
202401,himart,87736
202401,lge,104595
202401,samsunge,729
202401,xaomi,15152
202402,carrier,1278
202402,cooing,142
202402,cuckoo,77290
202402,haier,215
202402,himart,93207
202402,lge,122174
202402,samsunge,699
202402,xaomi,14296
202403,carrier,1670
202403,cooing,153
202403,cuckoo,73411
202403,haier,221
202403,himart,133843
202403,lge,101185
202403,samsunge,709
202403,xaomi,14945
202404,carrier,2843
202404,cooing,189
202404,cuckoo,82323
202404,haier,312
202404,himart,154856
202404,lge,105159
202404,samsunge,934
202404,xaomi,15801
202405,carrier,3388
202405,cooing,193
202405,cuckoo,91565
202405,haier,320
202405,himart,79542
202405,lge,112302
202405,samsunge,902
202405,xaomi,15859
202406,carrier,6031
202406,cooing,192
202406,cuckoo,104473
202406,haier,403
202406,himart,71102
202406,lge,99081
202406,samsunge,632
202406,xaomi,15163
202407,carrier,6683
202407,cooing,276
202407,cuckoo,93077
202407,haier,510
202407,himart,78410
202407,lge,108561
202407,modevi,49
202407,samsunge,751
202407,xaomi,16037
202408,carrier,6913
202408,cooing,262
202408,cuckoo,99217
202408,haier,469
202408,himart,122714
202408,lge,113482
202408,modevi,153
202408,samsunge,837
202408,xaomi,17186
202409,carrier,2868
202409,cooing,207
202409,cuckoo,84117
202409,haier,305
202409,himart,108569
202409,lge,112244
202409,modevi,80
202409,samsunge,755
202409,xaomi,16209
202410,carrier,1394
202410,cooing,192
202410,cuckoo,87277
202410,haier,286
202410,himart,74930
202410,lge,88393
202410,modevi,82
202410,samsunge,785
202410,xaomi,16383
202411,carrier,1347
202411,cooing,186
202411,cuckoo,87922
202411,haier,251
202411,himart,73510
202411,lge,73316
202411,modevi,56
202411,samsunge,763
202411,xaomi,16308
202412,carrier,1463
202412,cooing,150
202412,cuckoo,91997
202412,haier,201
202412,himart,76565
202412,lge,78128
202412,modevi,61
202412,samsunge,748
202412,xaomi,16351
202501,carrier,1895
202501,cooing,193
202501,cuckoo,102975
202501,haier,224
202501,himart,67510
202501,lge,126176
202501,modevi,43
202501,samsunge,904
202501,xaomi,20281
202502,carrier,1658
202502,cooing,193
202502,cuckoo,86320
202502,haier,232
202502,himart,76031
202502,lge,111844
202502,modevi,40
202502,samsunge,920
202502,xaomi,16576
202503,carrier,2107
202503,cooing,200
202503,cuckoo,115904
202503,haier,336
202503,himart,74699
202503,lge,119826
202503,modevi,34
202503,samsunge,667
202503,xaomi,23360
202504,carrier,2290
202504,cooing,210
202504,cuckoo,146372
202504,haier,275
202504,himart,69074
202504,lge,105589
202504,modevi,52
202504,samsunge,685
202504,xaomi,21108
202505,carrier,3729
202505,cooing,230
202505,cuckoo,165354
202505,haier,321
202505,himart,50667
202505,lge,143160
202505,modevi,44
202505,samsunge,935
202505,xaomi,20321
