site_nm,company,cnt,user_cnt,cnt_p_user,user_ratio
네이버,carrier,11272425,7579,1487.32,0.98
YouTube Music,carrier,1599352,7579,211.02,0.98
Google,carrier,5204700,7579,686.73,0.98
YouTube,carrier,13325392,7579,1758.2,0.98
Firebase Crashlytics,carrier,602310,7578,79.48,0.98
카카오,carrier,3902441,7578,514.97,0.98
Facebook,carrier,6014754,7577,793.82,0.98
카카오 내비,carrier,842243,7577,111.16,0.98
다음,carrier,4443884,7577,586.5,0.98
Google 애널리틱스,carrier,517984,7574,68.39,0.98
Google Play,carrier,375859,7570,49.65,0.98
네이버 애널리틱스,carrier,796949,7569,105.29,0.98
네이버 쇼핑,carrier,1398568,7566,184.85,0.98
쿠팡,carrier,8407712,7562,1111.84,0.98
카카오톡,carrier,2209716,7561,292.25,0.98
Bing,carrier,439921,7561,58.18,0.98
카카오톡 오픈채팅,carrier,686965,7553,90.95,0.98
Coupang Partners,carrier,689427,7546,91.36,0.98
Google 어카운트,carrier,556138,7545,73.71,0.98
Papago,carrier,704068,7542,93.35,0.98
네이버 블로그,carrier,1304444,7541,172.98,0.98
네이버 통합검색,carrier,1877958,7541,249.03,0.98
네이버 Corporation,carrier,605455,7540,80.3,0.98
네이버 지도,carrier,1446817,7538,191.94,0.98
jQuery,carrier,239904,7537,31.83,0.98
Taboola,carrier,1038615,7523,138.06,0.98
Google Messages,carrier,287872,7523,38.27,0.98
NHN TOAST,carrier,424138,7517,56.42,0.98
Criteo,carrier,1087005,7511,144.72,0.98
TikTok,carrier,1750314,7505,233.22,0.97
Teads,carrier,428090,7496,57.11,0.97
Media.net,carrier,300957,7495,40.15,0.97
쿠팡이츠,carrier,1211696,7493,161.71,0.97
벅스,carrier,177122,7477,23.69,0.97
Braze,carrier,815872,7473,109.18,0.97
Airbridge,carrier,578102,7468,77.41,0.97
네이버 페이,carrier,360118,7464,48.25,0.97
1rx,carrier,202857,7462,27.19,0.97
당근마켓,carrier,1912878,7458,256.49,0.97
clarity,carrier,577032,7445,77.51,0.97
Moloco,carrier,536127,7438,72.08,0.97
토스,carrier,3487215,7437,468.9,0.97
에이스트레이더,carrier,378451,7427,50.96,0.96
megadata,carrier,161249,7416,21.74,0.96
Sentry,carrier,584994,7409,78.96,0.96
Pi Network,carrier,242144,7407,32.69,0.96
네이버 플레이스,carrier,389435,7391,52.69,0.96
DFINERY,carrier,447739,7383,60.64,0.96
UNPKG,carrier,131194,7371,17.8,0.96
Temu,carrier,677956,7363,92.08,0.96
네이버 내정보,carrier,359565,7362,48.84,0.96
트위터,carrier,393447,7360,53.46,0.96
애드파이,carrier,2766527,7347,376.55,0.95
Amazon Web Services,carrier,608042,7343,82.81,0.95
네이버 스마트스토어,carrier,378805,7343,51.59,0.95
InMobi,carrier,472453,7311,64.62,0.95
LG U+,carrier,490150,7309,67.06,0.95
네이버 사전,carrier,185156,7307,25.34,0.95
Instagram,carrier,2737110,7269,376.55,0.94
MezzoMedia,carrier,198624,7258,27.37,0.94
카카오페이,carrier,936100,7245,129.21,0.94
ntp,carrier,566731,7223,78.46,0.94
카페24,carrier,216792,7196,30.13,0.93
채널톡,carrier,311985,7174,43.49,0.93
adbrix,carrier,250270,7145,35.03,0.93
openx,carrier,217910,7083,30.77,0.92
네이버 카페,carrier,739870,7028,105.27,0.91
카카오맵,carrier,300570,6961,43.18,0.9
Insider,carrier,163728,6957,23.53,0.9
Unity,carrier,2028420,6930,292.7,0.9
Branch,carrier,179774,6910,26.02,0.9
Melon,carrier,649871,6895,94.25,0.9
Hotjar,carrier,181460,6866,26.43,0.89
Vungle,carrier,592568,6858,86.41,0.89
Buzzvil,carrier,559082,6837,81.77,0.89
국세청 홈택스,carrier,159638,6776,23.56,0.88
네이버 톡톡,carrier,641250,6768,94.75,0.88
Samsung,carrier,1266277,6756,187.43,0.88
카카오TV,carrier,112242,6646,16.89,0.86
네이버 뉴스,carrier,380561,6633,57.37,0.86
G마켓,carrier,518309,6626,78.22,0.86
애피어,carrier,215938,6614,32.65,0.86
