URL	AGE	SEX	LOC	CNT
F업체	40	FEMALE	경기	59
J업체	60	FEMALE	경기	32
C업체	30	MALE	전남	121
A업체	20	FEMALE		7
B업체	60	MALE	전북	14
D업체	30	MALE	충남	187
A업체	40	MALE	충남	136
C업체	60	FEMALE	광주	2
B업체	60	MALE	충북	17
A업체	30	FEMALE	경남	6
J업체	50	FEMALE	전북	14
F업체	50	FEMALE	경기	46
H업체	10	MALE		1
B업체	40	FEMALE	세종	1
A업체	60	MALE	전북	25
J업체	50	MALE	경북	49
B업체			충남	5
E업체	70	MALE	경기	10
C업체	20	MALE	전북	102
J업체	30	MALE	울산	29
C업체	20	MALE	제주	17
B업체	40	FEMALE	제주	3
H업체	20	MALE		40
J업체	70	FEMALE	경북	3
F업체	20	FEMALE	경기	38
J업체	60	FEMALE	경남	6
G업체	50	MALE		6
F업체	70	FEMALE	부산	14
D업체	80	FEMALE	충북	1
C업체	70	MALE	대구	2
F업체	30	MALE	경북	41
J업체	40	MALE	광주	53
I업체	20	MALE	서울	6
A업체	80	MALE	강원	2
C업체			충남	2
F업체				9
C업체	20	FEMALE	경남	24
A업체	40	FEMALE	경북	14
B업체	30	FEMALE	인천	10
F업체	50	MALE	대전	37
B업체	60	FEMALE	인천	3
C업체	10	MALE	인천	27
B업체			서울	34
A업체	30	MALE	전북	61
G업체	40	FEMALE		2
E업체	40	FEMALE	부산	12
D업체	20	MALE	전남	26
C업체	50	MALE	충북	86
F업체	40	FEMALE	충남	9
E업체	30	FEMALE	대전	5
D업체	40	FEMALE	울산	4
B업체	0	MALE	광주	1
C업체	80	FEMALE	대구	1
E업체	50	FEMALE		22
E업체	10	MALE	서울	1
B업체			전남	2
J업체	60	FEMALE	대구	5
A업체	60	MALE	강원	21
F업체			부산	5
H업체	60	MALE	경남	4
F업체	20	FEMALE	전북	8
E업체	20	FEMALE	전북	2
F업체	40	FEMALE	인천	20
F업체	40	MALE	전북	39
C업체	10	FEMALE	강원	1
J업체	60	FEMALE	경북	5
J업체	40	MALE	강원	32
J업체	30	MALE		447
E업체	60	FEMALE	경남	1
H업체	20	FEMALE		8
A업체	30	FEMALE	광주	8
A업체	80	FEMALE	인천	3
G업체			경기	1
