ton,dist,cost
25,86.96493268,30
5,251.0926491,25
11,325.4250663,48
5,20.59564102,11
5,170.8006061,45
4,335.2254075,18
5,335.2254075,17
25,335.4043815,59
11,192.7692228,37
25,56.35324517,32
5,140.6989589,18
18,41.63379587,15
25,259.5283528,52
25,31.01313463,22
5,20.4446157,10
11,295.353922,45
25,58.82973485,25
18,76.1615095,22
25,36.35262637,19
11,43.79032207,11
5,227.3908606,25
14,247.6341256,40
16,215.1827689,35
18,62.72515849,21
11,263.9823797,68
18,136.8801126,32
25,222.8720036,54
25,259.5283528,52
18,79.80940897,20
11,226.4130798,30
18,46.38190702,20
5,143.6251236,19
11,60.26719713,12
5,86.86009005,11
18,72.6014201,22
25,274.1713708,46
25,19.22241035,15
25,113.8725766,36
18,302.4253624,48
25,290.1062666,60
25,290.392447,55
25,290.392447,55
25,227.4714909,50
25,26.12766073,17
25,231.8788155,51
25,248.9456106,51
25,234.8197764,51
25,273.8198693,56
11,71.84465575,17
18,22.8027132,15
25,231.1452665,52
25,262.9907156,60
11,42.7782596,16
25,119.3121098,31
5,56.69708006,12
25,139.1883595,46
11,98.25586945,20
18,148.5861862,35
11,37.97905398,11
25,232.2322715,54
5,224.623461,32
18,234.0086273,80
11,18.18854355,14
11,118.5153599,22
5,17.06676584,9
5,167.9179246,14
25,45.78900591,24
18,13.35329325,22
18,233.6652645,47
25,260.3580532,51
18,26.94331854,16
25,238.5427605,49
14,72.89455999,28
11,43.85557222,16
11,52.58159528,15
18,134.2765226,30
8,28.22919285,10
25,291.6346161,55
11,178.5883343,28
5,117.685399,35
11,189.9249571,32
5,298.1993134,35
5,48.35265457,12
11,102.3050079,20
25,168.7948362,38
25,51.39147296,28
5,251.039376,35
25,260.8305294,58
11,148.0199014,35
11,98.16548574,18
11,57.86036109,12
25,222.9652745,1.9
16,70.65055695,22
11,301.2410764,48
11,353.7876178,55
5,48.76787866,22
25,221.7418472,45
25,214.750241,18
25,36.35262637,19
11,96.49844865,24
11,11.51536355,12
22,118.2394058,35
11,12.56694251,10
11,26.22232785,10
25,124.2454545,40
11,250.9973131,38
25,151.7890824,32
25,21.61557479,17
5,48.35265457,12
25,219.79333,60
25,228.9955219,53
11,33.7290947,11
11,110.3926242,16
25,50.94602894,26
18,249.3147718,30
11,167.0002392,35
18,283.0701006,41
11,88.56312305,20.5
11,49.12646133,16
5,115.8803613,23
25,198.4086774,48
5,143.4229252,23
5,139.4680893,23
25,61.52957709,22
11,39.81677313,12
5,45.76572136,20
25,276.5421896,50
5,243.3233542,42
5,129.3042568,23
11,80.95229241,21
5,45.76572136,12
14,128.1554372,30
11,204.3903087,33
11,129.7291279,30
18,289.7541481,50
11,105.0374599,21
5,135.3824109,23
14,92.89871674,21
14,22.44232642,10
11,96.7861809,15
16,9.034741251,10
25,28.9231735,19
25,248.9456106,52
25,209.7592993,56
22,6.042899944,15
11,240.1322487,38
25,273.2161482,56
25,198.4086774,48
5,240.1322487,38
25,116.6146656,40
1,209.8815499,18
25,122.8795118,38
5,40.6321358,6
5,114.9418837,18
18,38.74071998,18
22,252.3449879,50
5,114.9418837,17
11,271.3013035,42
5,114.9418837,15
18,73.21877358,20
11,114.9418837,18
5,256.0875654,26
1,82.60996689,7
18,226.681127,36
5,350.0066348,44
11,41.89891523,14
5,251.0908457,30.5
5,202.5596114,28
14,238.37983,40
5,191.6684862,29
11,195.0338172,28
11,252.5858136,33
25,110.3481446,28
25,195.8779194,40
5,35.1481423,10
18,57.23414709,19
18,82.37629612,22
25,2.613517208,21
25,113.0127189,31
25,260.3580532,55
11,139.0310118,25
11,208.3552496,35
25,41.18634965,18
11,55.07932371,24
14,116.4235735,28
5,216.4321941,30
5,211.3612212,17
11,210.2844203,34
5,17.6280647,7
11,136.9746757,22
25,113.0127189,31
11,238.1942127,45
11,91.61114203,60
11,207.81942,23
11,103.9724539,18
1,164.3907677,17.5
1,254.1888407,10
5,51.68155159,13
11,61.51118736,17.5
11,15.62476715,8
5,43.6037056,8
25,102.896608,32
11,42.06058287,11
11,81.82197586,22
11,62.44144974,14
11,85.56834641,16
5,112.4311951,14
11,148.4696757,16
11,97.69268753,15
11,21.5349515,8
11,13.62030269,7
11,28.64157052,11
5,37.8644437,12
5,49.13826847,14
18,49.89657266,22
25,302.1435392,65
11,27.79942864,10
11,104.9965556,28
5,153.7168189,46
25,260.3580532,51
5,56.05346094,10
5,100.668898,12
5,191.6684862,29
5,45.6103362,13
25,96.53106077,1.2
5,119.986512,14
5,300.7530244,30
5,100.0649283,18
5,100.0649283,18
25,263.9462493,55
25,122.8795118,38
25,290.392447,57
25,263.9462493,51
11,229.6324142,25
25,273.8198693,58
25,227.4714909,57
11,276.0309022,38
5,299.4789299,35
25,260.3580532,51
25,171.9564478,46
25,92.20372358,34
18,72.6014201,22
18,227.7819413,45
18,76.1615095,22
11,42.93134042,16
5,217.5345388,28
5,216.7973106,30
5,217.5345388,28
5,217.6415911,32
25,96.24828826,28
11,80.39586188,22
5,80.39586188,22
1,139.9045973,10
5,42.93134042,16
1,32.24292591,5
5,261.4372404,32
5,141.4795811,16
11,226.5237465,36
25,243.456224,53
5,318.3010837,30
5,45.6103362,13
4,36.80965186,6
5,36.87252393,12
18,196.652926,40
25,24.7560915,21
25,98.39635262,28
11,66.08839222,20
16,164.5526988,30
25,250.2931706,48
5,220.5714189,36
11,124.6760234,22
11,59.45543175,16
25,149.4028939,35
11,68.76409349,22
11,346.6761296,13
25,102.896608,32
11,206.7089047,33
25,70.06170093,39
25,136.367561,35
25,261.3100799,54
11,226.397107,26
18,198.7516462,38
5,75.39961189,15
11,54.3204066,17
