ton,dist,cost
1,5,2.5
1,10,3
1,20,4
1,30,5
1,50,6
1,70,7
1,90,8
1,110,9
1,130,10
1,150,11
1,170,12
1,200,13
1,250,15
1,300,17
1,350,19
1,400,20
1,450,22
1,500,25
1,550,27
1,600,30
1.4,5,3
1.4,10,4
1.4,20,5
1.4,30,6
1.4,50,7
1.4,70,8
1.4,90,9
1.4,110,10
1.4,130,11
1.4,150,12
1.4,170,13
1.4,200,14
1.4,250,16
1.4,300,18
1.4,350,20
1.4,400,21
1.4,450,23
1.4,500,26
1.4,550,28
1.4,600,31
2.5,5,5
2.5,10,6
2.5,20,7
2.5,30,8
2.5,50,9
2.5,70,10
2.5,90,11
2.5,110,12
2.5,130,13
2.5,150,14
2.5,170,15
2.5,200,18
2.5,250,19
2.5,300,25
2.5,350,27
2.5,400,28
2.5,450,30
2.5,500,32
2.5,550,35
2.5,600,38
3.5,5,6
3.5,10,7
3.5,20,8
3.5,30,9
3.5,50,10
3.5,70,11
3.5,90,12
3.5,110,13
3.5,130,14
3.5,150,15
3.5,170,16
3.5,200,19
3.5,250,20
3.5,300,26
3.5,350,28
3.5,400,30
3.5,450,32
3.5,500,34
3.5,550,37
3.5,600,40
5,5,7
5,10,8
5,20,9
5,30,10
5,50,12
5,70,13
5,90,14
5,110,15
5,130,16
5,150,17
5,170,18
5,200,21
5,250,23
5,300,28
5,350,30
5,400,32
5,450,34
5,500,36
5,550,39
5,600,42
8,5,9
8,10,10
8,20,11
8,30,12
8,50,13
8,70,14
8,90,16
8,110,17
8,130,18
8,150,19
8,170,20
8,200,23
8,250,25
8,300,30
8,350,33
8,400,35
8,450,37
8,500,38
8,550,41
8,600,43
9.5,5,10
9.5,10,11
9.5,20,12
9.5,30,13
9.5,50,14
9.5,70,16
9.5,90,18
9.5,110,19
9.5,130,20
9.5,150,21
9.5,170,22
9.5,200,25
9.5,250,27
9.5,300,33
9.5,350,36
9.5,400,38
9.5,450,40
9.5,500,42
9.5,550,45
9.5,600,47
11,5,11
11,10,12
11,20,13
11,30,14
11,50,15
11,70,17
11,90,19
11,110,20
11,130,21
11,150,23
11,170,24
11,200,27
11,250,33
11,300,37
11,350,38
11,400,42
11,450,44
11,500,46
11,550,48
11,600,50
18,5,16
18,10,17
18,20,18
18,30,19
18,50,20
18,70,21
18,90,22
18,110,24
18,130,25
18,150,27
18,170,28
18,200,30
18,250,39
18,300,45
18,350,50
18,400,55
18,450,58
18,500,60
18,550,63
18,600,65
25,5,18
25,10,19
25,20,20
25,30,21
25,50,22
25,70,23
25,90,25
25,110,27
25,130,28
25,150,30
25,170,31
25,200,32
25,250,42
25,300,48
25,350,53
25,400,58
25,450,62
25,500,64
25,550,67
25,600,70
30,5,20
30,10,21
30,20,22
30,30,23
30,50,24
30,70,25
30,90,27
30,110,29
30,130,30
30,150,33
30,170,35
30,200,36
30,250,45
30,300,50
30,350,56
30,400,65
30,450,69
30,500,71
30,550,75
30,600,79
